indicator,ct,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15
New Zealand,新西兰,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8
Nigeria,尼日利亚,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
North Macedonia,北马其顿,0,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,7,14,14,14
Norway,挪威,0,1,1,6,15,19,25,32,56,87,108,147,176,205,400,598,702,996,1090,1221
occupied Palestinian territory,被占领巴勒斯坦领土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,阿曼,2,4,4,4,6,6,6,12,15,16,16,16,16,16,18,18,18,19,19,22
Pakistan,巴基斯坦,0,2,2,2,4,4,4,5,5,5,6,6,6,6,16,19,20,28,31,53
Panama,巴拿马,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,27,36,43
Paraguay,巴拉圭,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6
Peru,秘鲁,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43
Philippines,菲律宾,3,3,3,3,3,3,3,3,3,3,5,6,10,20,33,49,52,64,111,140
Poland,波兰,0,0,0,0,0,0,0,0,1,1,5,5,11,16,22,31,49,68,103,119
Portugal,葡萄牙,0,0,0,0,0,0,2,2,5,8,13,20,30,30,41,59,59,112,169,245
Qatar,卡塔尔,0,0,0,0,1,3,3,7,8,8,8,8,15,18,24,262,262,320,337,401
Reunion,会议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,7
Romania,罗马尼亚,0,1,1,3,3,3,3,3,4,6,9,9,15,15,25,45,49,89,123,131
Russia,俄罗斯,2,2,2,2,2,2,3,3,3,4,13,13,17,17,20,20,28,45,59,63
Rwanda,卢旺达,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Saint Lucia,圣卢西亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
San Marino,圣马力诺,0,0,1,1,1,1,8,10,16,21,21,23,36,36,51,62,69,80,80,101
Saudi Arabia,沙特阿拉伯,0,0,0,0,0,0,1,1,1,5,5,5,11,15,20,21,45,86,103,103
Senegal,塞内加尔,0,0,0,0,0,0,1,2,4,4,4,4,4,4,4,4,4,10,10,24
Serbia,塞尔维亚,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48
Seychelles,塞舌尔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Singapore,新加坡,91,93,93,93,102,106,108,110,110,117,130,138,150,150,160,178,178,200,212,226
Slovakia,斯洛伐克,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54
Slovenia,斯洛文尼亚,0,0,0,0,0,0,0,0,0,2,7,7,16,16,31,57,89,141,181,219
South Africa,南非,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51
Spain,西班牙,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798
